"","X","periodo","nombre_region","toi","to","tp","td","Ocupados","Desocupados","FDT","PET","FFT","OI","sexo"
"50",50,"2021.JJA","Antofagasta",23.39,54.63,60.21,9.27,304302,31105,335407,557017,221610,71170,"Ambos sexos"
"51",51,"2021.JAS","Antofagasta",22.46,55.71,61.65,9.64,310598,33151,343749,557565,213816,69758,"Ambos sexos"
"52",52,"2021.ASO","Antofagasta",22.75,56.87,62.58,9.13,317380,31876,349256,558091,208835,72193,"Ambos sexos"
"53",53,"2021.SON","Antofagasta",23.58,57.56,63.03,8.68,321552,30577,352129,558654,206525,75812,"Ambos sexos"
"54",54,"2021.OND","Antofagasta",24.4,58.29,63.47,8.17,325952,28994,354946,559200,204254,79537,"Ambos sexos"
"55",55,"2021.NDE","Antofagasta",23.6,58.36,63.78,8.5,326689,30339,357028,559743,202715,77099,"Ambos sexos"
"56",56,"2022.DEF","Antofagasta",23.46,58.78,63.98,8.13,329333,29132,358465,560262,201797,77256,"Ambos sexos"
"57",57,"2022.EFM","Antofagasta",21.98,57.51,63.18,8.98,322499,31812,354311,560810,206499,70883,"Ambos sexos"
"58",58,"2022.FMA","Antofagasta",22.24,57.54,62.44,7.85,323011,27504,350515,561355,210840,71833,"Ambos sexos"
"59",59,"2022.MAM","Antofagasta",23.14,58.3,63.09,7.59,327593,26914,354507,561916,207409,75795,"Ambos sexos"
"60",60,"2022.AMJ","Antofagasta",23.65,58.69,63.07,6.94,330111,24635,354746,562471,207725,78077,"Ambos sexos"
"61",61,"2022.MJJ","Antofagasta",22.96,58.24,62.81,7.26,327923,25685,353608,563018,209410,75303,"Ambos sexos"
"62",62,"2022.JJA","Antofagasta",23.47,58.41,63.17,7.53,329184,26819,356004,563536,207532,77269,"Ambos sexos"
"63",63,"2022.JAS","Antofagasta",22.54,58.08,63.42,8.42,327570,30125,357696,564016,206320,73831,"Ambos sexos"
"64",64,"2022.ASO","Antofagasta",22.14,58.14,63.9,9.01,328207,32509,360716,564507,203791,72677,"Ambos sexos"
"65",65,"2022.SON","Antofagasta",20.73,58.64,64.35,8.86,331330,32214,363544,564989,201445,68668,"Ambos sexos"
"66",66,"2022.OND","Antofagasta",20.98,58.56,64.22,8.82,331119,32024,363143,565440,202297,69475,"Ambos sexos"
"67",67,"2022.NDE","Antofagasta",21.14,58.46,63.84,8.42,330851,30426,361277,565931,204654,69953,"Ambos sexos"
"68",68,"2023.DEF","Antofagasta",20.99,58.08,63.93,9.15,328961,33136,362097,566401,204304,69064,"Ambos sexos"
"69",69,"2023.EFM","Antofagasta",20.58,58.75,64.92,9.5,333043,34976,368020,566885,198865,68528,"Ambos sexos"
"70",70,"2023.FMA","Antofagasta",20.36,58.84,64.99,9.46,333827,34863,368690,567345,198655,67956,"Ambos sexos"
"71",71,"2023.MAM","Antofagasta",20,59.67,65.4,8.76,338829,32520,371349,567830,196481,67758,"Ambos sexos"
"72",72,"2023.AMJ","Antofagasta",21.18,60.34,65.3,7.6,342936,28199,371135,568316,197181,72623,"Ambos sexos"
"73",73,"2023.MJJ","Antofagasta",20.83,61.27,65.69,6.72,348513,25124,373637,568790,195153,72604,"Ambos sexos"
"74",74,"2023.JJA","Antofagasta",20.51,60.36,64.59,6.54,343639,24035,367674,569271,201597,70474,"Ambos sexos"
"75",75,"2020.JJA","Atacama",17.93,48.35,55.46,12.82,118050,17357,135406,244150,108744,21170,"Ambos sexos"
"76",76,"2020.JAS","Atacama",18.92,49.25,55.87,11.84,120341,16169,136510,244340,107830,22764,"Ambos sexos"
"77",77,"2020.ASO","Atacama",21.48,49.25,55.72,11.62,120425,15839,136263,244533,108270,25862,"Ambos sexos"
"78",78,"2020.SON","Atacama",24.34,50.29,56.95,11.69,123076,16292,139368,244737,105369,29961,"Ambos sexos"
"79",79,"2020.OND","Atacama",26.47,51.76,57.85,10.52,126779,14905,141683,244925,103242,33561,"Ambos sexos"
"80",80,"2020.NDE","Atacama",26.8,52.22,58.56,10.83,128003,15545,143548,245127,101579,34309,"Ambos sexos"
"81",81,"2021.DEF","Atacama",26.33,51.51,57.53,10.46,126375,14768,141142,245320,104178,33269,"Ambos sexos"
"82",82,"2021.EFM","Atacama",25.3,51.56,57.82,10.84,126579,15382,141961,245509,103548,32019,"Ambos sexos"
"83",83,"2021.FMA","Atacama",24.86,52.14,58.65,11.1,128115,15994,144109,245707,101598,31850,"Ambos sexos"
"84",84,"2021.MAM","Atacama",25.04,52.8,59.15,10.74,129832,15628,145459,245903,100444,32503,"Ambos sexos"
"85",85,"2021.AMJ","Atacama",24.2,52.61,58.89,10.67,129464,15464,144928,246101,101173,31333,"Ambos sexos"
"86",86,"2021.MJJ","Atacama",25.46,53.45,59,9.41,131645,13671,145316,246291,100975,33521,"Ambos sexos"
"87",87,"2021.JJA","Atacama",25.8,53.38,59.14,9.74,131560,14202,145763,246473,100710,33947,"Ambos sexos"
"88",88,"2021.JAS","Atacama",27.06,54.67,59.67,8.39,134829,12341,147171,246640,99469,36492,"Ambos sexos"
"89",89,"2021.ASO","Atacama",26.17,55.06,59.93,8.12,135897,12006,147903,246806,98903,35571,"Ambos sexos"
"90",90,"2021.SON","Atacama",27.76,56.54,60.53,6.59,139622,9851,149473,246957,97484,38758,"Ambos sexos"
"91",91,"2021.OND","Atacama",26.88,56.88,61.33,7.27,140551,11012,151563,247113,95550,37781,"Ambos sexos"
"92",92,"2021.NDE","Atacama",25.47,57.64,62.2,7.34,142517,11295,153812,247270,93458,36300,"Ambos sexos"
"93",93,"2022.DEF","Atacama",24.51,57.03,62.07,8.12,141115,12474,153589,247450,93861,34583,"Ambos sexos"
"94",94,"2022.EFM","Atacama",24.29,56.35,61.47,8.33,139527,12674,152201,247613,95412,33885,"Ambos sexos"
"95",95,"2022.FMA","Atacama",24.86,55.95,60.89,8.11,138623,12243,150865,247777,96912,34458,"Ambos sexos"
