"","periodo","nombre_region","toi","to","tp","td","Ocupados","Desocupados","FDT","PET","FFT","OI"
"508","2022.ASO","Los Ríos",32.35,51.8,55.65,6.92,173348,12891,186239,334666,148427,56086
"509","2022.SON","Los Ríos",32.29,51.81,55.19,6.12,173483,11313,184796,334848,150052,56018
"510","2022.OND","Los Ríos",32.26,53.21,56.53,5.87,178283,11119,189402,335061,145659,57507
"511","2022.NDE","Los Ríos",33.04,53.93,58.12,7.21,180828,14044,194872,335284,140412,59743
"512","2023.DEF","Los Ríos",36.03,54.62,59.03,7.47,183272,14791,198063,335509,137446,66028
"513","2023.EFM","Los Ríos",35.15,52.96,57.4,7.73,177787,14885,192673,335692,143019,62490
"514","2023.FMA","Los Ríos",35.45,52.69,56.62,6.93,176995,13189,190185,335898,145713,62751
"515","2023.MAM","Los Ríos",33.64,52.8,56.51,6.56,177453,12468,189921,336092,146171,59702
"516","2023.AMJ","Los Ríos",33.13,52.64,56.62,7.03,177025,13388,190413,336306,145893,58657
"517","2023.MJJ","Los Ríos",33.3,53.4,57.64,7.36,179708,14272,193981,336520,142539,59852
"518","2023.JJA","Los Ríos",33.29,53.29,58.16,8.37,179431,16392,195824,336722,140898,59732
"519","2020.JJA","Arica y Parinacota",28.41,45.28,50.05,9.52,90424,9514,99937,199694,99757,25687
"520","2020.JAS","Arica y Parinacota",29.64,45.22,49.99,9.55,90430,9546,99975,199972,99997,26799
"521","2020.ASO","Arica y Parinacota",32.1,47.66,50.97,6.49,95436,6627,102064,200239,98175,30633
"522","2020.SON","Arica y Parinacota",32.69,48.88,52.13,6.23,98007,6510,104516,200501,95985,32037
"523","2020.OND","Arica y Parinacota",33.78,49.77,53.08,6.24,99918,6648,106566,200773,94207,33753
"524","2020.NDE","Arica y Parinacota",32.17,50.34,54.11,6.96,101210,7576,108785,201041,92256,32563
"525","2021.DEF","Arica y Parinacota",31.85,51.81,56.23,7.86,104295,8896,113191,201315,88124,33221
"526","2021.EFM","Arica y Parinacota",29.57,51.96,56.13,7.42,104749,8399,113148,201584,88436,30974
"527","2021.FMA","Arica y Parinacota",29.49,50.81,55.25,8.04,102563,8962,111525,201853,90328,30249
"528","2021.MAM","Arica y Parinacota",29.81,50.87,54.27,6.25,102824,6856,109681,202115,92434,30654
"529","2021.AMJ","Arica y Parinacota",33.03,50.11,53.5,6.34,101420,6868,108288,202397,94109,33497
"530","2021.MJJ","Arica y Parinacota",33.63,50.87,53.68,5.24,103084,5699,108783,202661,93878,34672
"531","2021.JJA","Arica y Parinacota",35.65,51.01,53.91,5.37,103504,5879,109383,202903,93520,36904
"532","2021.JAS","Arica y Parinacota",33.76,51.87,54.54,4.89,105356,5413,110769,203107,92338,35573
"533","2021.ASO","Arica y Parinacota",32.71,51.94,54.95,5.48,105600,6122,111722,203304,91582,34541
"534","2021.SON","Arica y Parinacota",31.72,52.02,54.76,4.99,105866,5566,111432,203503,92071,33579
"535","2021.OND","Arica y Parinacota",31.41,52.07,54.69,4.79,106070,5333,111403,203714,92311,33316
"536","2021.NDE","Arica y Parinacota",30.48,53.4,55.57,3.89,108893,4412,113305,203911,90606,33186
"537","2022.DEF","Arica y Parinacota",30.02,53.15,55.56,4.34,108487,4927,113414,204119,90705,32566
"538","2022.EFM","Arica y Parinacota",30.42,53.38,56.34,5.25,109064,6043,115106,204316,89210,33177
"539","2022.FMA","Arica y Parinacota",30.8,53.92,57.27,5.85,110285,6852,117136,204519,87383,33970
"540","2022.MAM","Arica y Parinacota",31.09,54,57.65,6.32,110556,7463,118020,204719,86699,34369
"541","2022.AMJ","Arica y Parinacota",32.69,53.78,57.77,6.91,110196,8176,118371,204918,86547,36026
"542","2022.MJJ","Arica y Parinacota",34.96,53.99,58.28,7.37,110743,8806,119549,205115,85566,38714
"543","2022.JJA","Arica y Parinacota",35.66,54.62,58.83,7.16,112152,8643,120795,205328,84533,39993
"544","2022.JAS","Arica y Parinacota",36.63,54.58,58.9,7.34,112172,8886,121058,205527,84469,41086
"545","2022.ASO","Arica y Parinacota",36.14,54.4,58.62,7.21,111909,8700,120609,205734,85125,40447
"546","2022.SON","Arica y Parinacota",35.54,54.54,58.86,7.33,112331,8881,121212,205943,84731,39925
"547","2022.OND","Arica y Parinacota",34.49,54.33,58.17,6.59,112008,7899,119907,206147,86240,38628
