"","periodo","nombre_region","toi","to","tp","td","Ocupados","Desocupados","FDT","PET","FFT","OI"
"561","2020.NDE","Ñuble",31.92,49.97,54.74,8.7,208803,19892,228694,417817,189123,66659
"562","2021.DEF","Ñuble",30.51,49.85,54.61,8.72,208419,19906,228326,418118,189792,63589
"563","2021.EFM","Ñuble",33.18,49.78,54.86,9.26,208283,21266,229549,418413,188864,69102
"564","2021.FMA","Ñuble",33.21,49.47,53.99,8.37,207131,18909,226039,418701,192662,68795
"565","2021.MAM","Ñuble",32.82,48.32,53.03,8.89,202463,19748,222211,419016,196805,66443
"566","2021.AMJ","Ñuble",32.18,46.78,52.18,10.35,196167,22654,218821,419330,200509,63117
"567","2021.MJJ","Ñuble",32.08,46.98,52.43,10.39,197145,22861,220006,419636,199630,63250
"568","2021.JJA","Ñuble",31.81,47.56,52.88,10.05,199717,22325,222042,419910,197868,63533
"569","2021.JAS","Ñuble",32.44,48.28,52.85,8.64,202888,19187,222075,420221,198146,65807
"570","2021.ASO","Ñuble",33.38,49.49,53.43,7.37,208131,16555,224686,420515,195829,69466
"571","2021.SON","Ñuble",34.05,50.05,53.33,6.15,210605,13798,224404,420787,196383,71715
"572","2021.OND","Ñuble",33.3,51.77,54.69,5.33,217999,12274,230273,421069,190796,72596
"573","2021.NDE","Ñuble",34.28,52.25,55.01,5.03,220148,11651,231799,421342,189543,75471
"574","2022.DEF","Ñuble",34.57,52,55.57,6.42,219247,15041,234288,421618,187330,75794
"575","2022.EFM","Ñuble",34.65,50.5,54.67,7.62,213094,17565,230659,421930,191271,73832
"576","2022.FMA","Ñuble",33.37,49.89,54.77,8.91,210643,20595,231238,422214,190976,70282
"577","2022.MAM","Ñuble",32.73,49.81,54.71,8.96,210433,20716,231149,422498,191349,68880
"578","2022.AMJ","Ñuble",33.32,49.65,54.71,9.25,209928,21385,231314,422781,191467,69940
"579","2022.MJJ","Ñuble",33.6,48.06,53.18,9.63,203312,21662,224973,423074,198101,68312
"580","2022.JJA","Ñuble",34.28,48.51,53.58,9.46,205354,21458,226812,423344,196532,70391
"581","2022.JAS","Ñuble",35.93,48.17,53.04,9.18,204051,20620,224672,423625,198953,73323
"582","2022.ASO","Ñuble",36.14,49.84,54.03,7.76,211249,17774,229023,423893,194870,76350
"583","2022.SON","Ñuble",37.91,49.85,53.83,7.39,211429,16883,228312,424150,195838,80149
"584","2022.OND","Ñuble",37.63,52.01,56.18,7.43,220738,17724,238461,424451,185990,83069
"585","2022.NDE","Ñuble",37.11,51.95,56.64,8.28,220652,19930,240582,424742,184160,81878
"586","2023.DEF","Ñuble",35.73,51.94,57.13,9.09,220746,22067,242813,425007,182194,78876
"587","2023.EFM","Ñuble",36.95,50.92,56.08,9.21,216554,21959,238513,425289,186776,80010
"588","2023.FMA","Ñuble",37.53,50.71,55.96,9.39,215784,22359,238143,425550,187407,80982
"589","2023.MAM","Ñuble",37.48,51.05,56.07,8.94,217406,21356,238762,425834,187072,81474
"590","2023.AMJ","Ñuble",35.48,49.67,54.96,9.63,211641,22550,234191,426104,191913,75100
"591","2023.MJJ","Ñuble",35.45,49.2,54.7,10.05,209788,23438,233226,426411,193185,74367
"592","2023.JJA","Ñuble",33.91,48.87,54.54,10.39,208521,24188,232709,426672,193963,70710
"593","2020.JJA","Total país",22.53,45.72,52.5,12.91,7191414,1065796,8257210,15729265,7472055,1620151
"594","2020.JAS","Total país",23.49,46.77,53.36,12.35,7365055,1037582,8402637,15746866,7344229,1729949
"595","2020.ASO","Total país",25.12,48.64,55.01,11.58,7667659,1003911,8671570,15764525,7092955,1926274
"596","2020.SON","Total país",26.68,50.16,56.21,10.76,7916724,954352,8871076,15782138,6911062,2112280
"597","2020.OND","Total país",26.98,50.8,56.62,10.29,8026217,920263,8946480,15799928,6853448,2165309
"598","2020.NDE","Total país",27.08,51.34,57.19,10.23,8121420,925214,9046634,15817719,6771085,2199650
"599","2021.DEF","Total país",26.46,51.58,57.5,10.3,8167623,938324,9105948,15835398,6729450,2161171
"600","2021.EFM","Total país",26.69,51.4,57.33,10.35,8148206,941088,9089294,15853046,6763752,2174531
"601","2021.FMA","Total país",26.2,51.06,56.89,10.24,8104129,924974,9029103,15870679,6841576,2123557
"602","2021.MAM","Total país",26.1,50.61,56.26,10.04,8041110,897161,8938272,15888394,6950122,2098432
"603","2021.AMJ","Total país",25.96,50.55,55.86,9.5,8041191,843758,8884950,15906102,7021152,2087800
"604","2021.MJJ","Total país",26.89,51.17,56.19,8.93,8148948,799380,8948328,15923835,6975507,2191335
"605","2021.JJA","Total país",27.13,51.81,56.66,8.55,8258775,771903,9030678,15939249,6908571,2240607
"606","2021.JAS","Total país",27.65,52.31,57.11,8.41,8345240,765842,9111082,15952365,6841283,2307371
"607","2021.ASO","Total país",27.93,52.97,57.62,8.08,8456511,743008,9199520,15965393,6765873,2361665
"608","2021.SON","Total país",28.21,53.56,57.92,7.53,8558362,696688,9255050,15978363,6723313,2414580
"609","2021.OND","Total país",28.28,54.27,58.47,7.19,8678287,672297,9350584,15991432,6640848,2454121
"610","2021.NDE","Total país",28.03,54.44,58.71,7.27,8712890,683236,9396126,16004483,6608357,2442569
"611","2022.DEF","Total país",27.81,54.74,59.18,7.5,8768645,710820,9479464,16017428,6537964,2438920
"612","2022.EFM","Total país",27.27,54.88,59.52,7.8,8797561,744041,9541602,16030541,6488939,2398884
"613","2022.FMA","Total país",27.17,55.07,59.7,7.75,8835478,742016,9577493,16043616,6466123,2400599
"614","2022.MAM","Total país",27.35,55.15,59.82,7.8,8855076,749542,9604618,16056612,6451994,2421790
"615","2022.AMJ","Total país",27.11,55,59.66,7.81,8838432,748913,9587345,16069655,6482310,2395933
"616","2022.MJJ","Total país",26.64,55.03,59.76,7.92,8849831,761069,9610900,16082690,6471790,2357499
"617","2022.JJA","Total país",26.66,55.01,59.74,7.93,8853293,762473,9615766,16095411,6479645,2360389
"618","2022.JAS","Total país",27.06,54.9,59.7,8.04,8843544,773188,9616732,16107712,6490980,2393242
"619","2022.ASO","Total país",27.67,55.02,59.78,7.97,8869323,767933,9637256,16120185,6482929,2453760
"620","2022.SON","Total país",27.28,55.06,59.82,7.95,8883090,767075,9650165,16132437,6482272,2423030
"621","2022.OND","Total país",27.37,55.53,60.27,7.86,8965230,765069,9730299,16144885,6414586,2453565
"622","2022.NDE","Total país",27.27,55.76,60.63,8.04,9008546,787317,9795863,16157315,6361452,2456973
"623","2023.DEF","Total país",27.31,55.85,60.95,8.37,9030162,824612,9854774,16169766,6314992,2466432
"624","2023.EFM","Total país",27.45,55.65,61.03,8.81,9006145,869932,9876077,16182118,6306041,2472059
"625","2023.FMA","Total país",27.36,55.62,60.89,8.66,9006729,853902,9860631,16194588,6333957,2463981
"626","2023.MAM","Total país",27.38,55.74,60.94,8.52,9034231,841916,9876146,16206908,6330762,2473967
"627","2023.AMJ","Total país",27.18,55.71,60.9,8.53,9035114,842305,9877419,16219348,6341929,2455317
"628","2023.MJJ","Total país",26.87,55.62,60.97,8.77,9028647,868170,9896817,16231718,6334901,2425785
"629","2023.JJA","Total país",26.72,55.44,60.92,9,9005443,890175,9895618,16244301,6348683,2406217
